0003;BDEPESM1XXX
0004;BANDESSSXXX
0009;FICDESM1XXX
0019;DEUTESBBXXX
0024;BALEES22XXX
0030;ESPCESMMXXX
0031;ETCHES2GXXX
0036;SABNESMMXXX
0042;BGUIES22XXX
0046;GALEES2GXXX
0049;BSCHESMMXXX
0057;BVADESMMXXX
0058;BNPAESMMXXX
0059;MADRESMMXXX
0061;BMARES2MXXX
0065;BARCESMMXXX
0072;PSTRESMMXXX
0073;OPENESMMXXX
0075;POPUESMMXXX
0078;BAPUES22XXX
0081;BSABESBBXXX
0082;CASTES2SXXX
0083;RENBESMMXXX
0086;NORTESMMXXX
0093;VALEESVVXXX
0094;BVALESMMXXX
0095;VASCES2PXXX
0097;GALIES2VXXX
0099;AHCRESVVXXX
0106;LOYDESMMXXX
0108;SOGEESMMXXX
0122;CITIES2XXXX
0125;BAOFESM1XXX
0128;BKBKESMMXXX
0130;CGDIESMMXXX
0131;BESMESMMXXX
0133;MIKBESB1XXX
0136;AREBESMMXXX
0138;BKOAES22XXX
0142;BPMEESBBXXX
0144;PARBESMXXXX
0149;BNPAESMSXXX
0151;CHASESM3XXX
0154;BSUIESMMXXX
0155;BRASESMMXXX
0156;ABNAESMMMAD
0159;COBAESMXXXX
0159;DRESESMXXXX
0160;BOTKESMXXXX
0162;MIDLESMMXXX
0167;GEBAESMMXXX
0168;BBRUESMXXXX
0169;NACNESMMXXX
0182;BBVAESMMXXX
0184;BEDFESM1XXX
0185;UIJOESMMXXX
0186;BFIVESBBXXX
0188;ALCLESMMXXX
0190;BBPIESMMXXX
0196;WELAESMMXXX
0198;BCOEESMMXXX
0200;PRVBESB1XXX
0211;PROAESMMXXX
0216;POHIESMMXXX
0217;HLFXESMMXXX
0219;BMCEESMMXXX
0220;FIOFESM1XXX
0224;SCFBESMMXXX
0226;UBSWESMMXXX
0227;UNOEESM1XXX
0229;POPLESMMXXX
0231;DSBLESMMXXX
0232;INVLESMMXXX
0233;POPIESMMXXX
0234;CCOCESMMXXX
0235;PICHESMMXXX
0235;PIESESM1XXX
0236;HLFXESMMXXX
0236;LOYDESMMXXX
0237;CSURES2CXXX
0486;TRESES2BXXX
0487;GBMNESMMXXX
0490;GBCCESMMXXX
1004;BCLEESMMXXX
1150;KREDESMMXXX
1459;PRABESMMXXX
1460;CRESESMMXXX
1465;INGDESMMXXX
1467;EHYPESM1XXX
1474;CITIESMXXXX
1475;CCSEESM1XXX
1480;VOWAES21XXX
1485;BOFAES2XXXX
1488;PICTESMMXXX
1490;SELFESMMXXX
